FitGMM_1;FitGMM_2;FitGMM_3;FitGMM_4;FitGMM_5;FitGMM_6;FitGMM_7;FitGMM_8;FitGMM_9;FitGMM_10
10.8196;10.6974;11.3672;10.6020;0.00110;0.04970;0.84760;0.24330;0.97120;30.96380
11.0627;10.7334;11.1837;10.9070;-0.18060;0.03980;0.86010;0.20240;2.87860;30.45640
11.0627;10.7334;11.2013;10.9070;-0.01790;0.05140;1.04830;0.30490;1.27350;29.91890
10.4267;10.6135;11.2705;10.5039;0.00090;0.02070;0.96110;0.39670;0.98350;30.29040
10.6356;10.6311;11.2899;10.5766;0.00210;0.06930;0.74320;0.45340;0.96730;29.03170
10.9838;10.6444;11.3685;10.6732;0.00080;0.06580;0.74700;0.29850;0.99760;29.28030
10.7317;11.0644;11.1167;10.6248;-0.08700;0.00000;1.11070;0.91380;2.61100;28.41030
10.9723;10.9758;11.2876;10.6804;0.00700;0.00580;1.45860;1.69920;0.98520;30.14160
10.9925;10.9322;11.1831;10.7647;0.89370;0.05690;0.77320;0.15750;0.98070;23.17880
9.6292;10.6518;11.3473;10.7392;0.91810;0.04420;0.75610;0.24310;0.97810;23.36340
10.6222;10.5532;11.3203;10.4756;0.00300;0.00000;0.39330;0.18110;0.98840;30.63790
10.7254;10.5930;11.2037;10.7026;0.00160;0.00000;0.60550;0.41280;0.98230;30.73680
10.6102;10.7478;11.1326;10.6078;0.02520;0.01800;0.65800;0.25800;0.63400;34.61160
10.6518;10.6725;11.1422;10.7043;0.02560;0.02200;0.62000;0.25700;0.54200;34.74440
10.7452;10.6667;11.1949;10.8440;0.01430;0.02760;0.86890;0.19610;0.82230;28.58140
10.8725;10.9207;11.0830;10.6348;0.04140;0.00520;1.03490;0.48820;0.52380;29.16780
11.0184;10.7789;11.0993;10.8509;-0.04080;0.10160;1.35460;0.12080;1.68100;32.01230
11.0665;10.8100;11.1917;10.8761;-0.02580;0.10660;1.06460;0.20260;1.71200;32.12210
10.5719;10.7110;11.0717;10.2047;0.02300;0.01690;0.72720;0.46490;0.67590;30.28140
10.8220;10.6639;11.2700;10.4406;0.03250;0.01180;0.71150;0.48120;0.51700;30.40260
10.8596;10.7258;11.2602;10.6405;0.00370;0.04300;0.87300;0.16800;0.93300;34.42660
10.8016;10.6155;11.1784;10.4887;0.01140;0.03700;0.79700;0.19700;0.81200;34.50300
10.9519;10.7012;11.1395;10.4604;0.01160;0.02940;0.83660;0.20140;0.81220;35.01510
11.0240;10.7556;11.0562;10.6098;0.01830;0.03080;0.83670;0.27160;0.74300;35.05640
10.8118;10.7507;11.0683;10.3708;0.02440;0.00890;2.21240;0.94630;0.53270;27.99650
10.8797;10.7048;11.0837;10.6839;0.02650;0.00530;2.41980;2.01570;0.34130;28.53770
11.0273;10.8421;11.0677;10.8209;0.00440;0.04370;0.93190;0.19340;0.91610;33.52050
10.9695;10.6106;10.9755;10.2660;0.00640;0.03700;0.92860;0.19140;0.89280;33.54960
11.1641;10.6681;11.1342;10.4401;-0.00290;0.00000;0.92950;0.32780;0.96710;29.32140
11.1169;10.6993;11.0409;10.7110;-0.08700;0.01390;0.52630;0.55490;2.24010;30.05920
10.9848;10.8172;11.0509;10.6823;-0.02990;0.04970;0.56260;0.11590;1.46660;30.41630
11.1491;10.7874;10.9961;10.7843;-0.02090;0.03900;0.62810;0.15820;1.22550;30.69060
11.2568;10.7592;11.1877;11.1937;0.00540;0.02800;0.84000;0.25000;0.86580;32.93380
10.7917;10.8448;10.9628;10.2570;0.00870;0.02700;0.84600;0.26700;0.82970;32.88980
10.9397;10.7600;11.0401;10.4342;-0.05770;0.22270;1.46770;0.34020;1.64900;29.30570
10.9882;10.7428;11.2013;10.5335;-0.03000;0.14090;0.66470;0.41100;1.58330;29.81140
10.7225;10.4896;11.2915;10.4474;0.00060;0.05490;0.64000;0.35700;0.98400;29.31100
10.8107;10.4460;11.3670;10.4838;0.00130;0.05130;0.40010;0.67150;0.94810;29.78000
10.9032;10.4889;11.4773;10.6014;0.00230;0.01430;0.41260;0.21430;0.93800;29.76370
10.6320;10.5313;11.0360;10.0856;0.00260;0.02620;0.29670;0.53140;0.92420;30.34280
10.8836;10.4273;11.0782;10.4511;0.01200;0.01400;0.86320;0.17310;0.83950;32.57950
11.2332;10.3116;11.2290;10.8890;0.01270;0.01240;0.81680;0.17780;0.81940;32.69590
10.7495;10.7185;11.1839;10.4639;0.01780;0.04000;0.60580;0.21640;0.77760;32.05730
10.6758;10.5469;11.2986;10.5828;0.01510;0.04480;0.51380;0.23520;0.75950;32.24340
10.8881;10.6207;11.2926;10.6879;-0.02310;0.04660;0.82540;0.24530;1.16140;30.53780
10.8165;10.2966;11.0324;10.6338;-0.08920;0.00080;0.77490;0.29920;2.34500;30.50470
10.8616;10.6619;11.0622;10.7319;0.00660;0.01930;0.84180;0.16530;0.87580;29.94460
10.8006;10.7230;11.2180;10.9138;0.00560;0.01670;0.68580;0.13690;0.89480;30.28670
10.7284;10.8148;11.0712;10.5834;0.01190;0.03290;0.82950;0.19900;0.80030;34.97180
10.7699;10.7250;11.0889;10.5815;0.01770;0.02810;0.80040;0.19600;0.67260;35.08440
10.8813;10.7454;11.3079;10.8283;0.00460;0.02630;0.76570;0.25800;0.92120;29.66410
10.9527;10.4205;10.9927;10.3037;0.00510;0.03040;0.62860;0.41730;0.88450;29.79050
10.9481;10.4104;11.1053;10.3357;0.00720;0.03620;0.82910;0.21920;0.89380;33.26920
11.0530;10.5493;11.2651;10.4472;0.01360;0.03460;0.74350;0.22680;0.78370;33.37010
10.9054;10.6092;11.1889;10.5172;0.00740;0.00400;0.79250;0.24310;0.87830;32.78560
10.9689;10.7860;11.2100;10.6793;0.01000;0.00550;0.76280;0.26910;0.82900;32.75950
10.9640;10.7205;11.2668;10.7345;0.00360;0.02900;0.78700;0.35700;0.88800;32.91790
10.7324;10.4952;11.1154;10.4003;0.00530;0.03200;0.69000;0.34900;0.90100;33.08800
10.8287;10.4426;11.1561;10.3945;0.00910;0.02880;0.74520;0.18240;0.84610;33.10990
10.8446;10.4366;11.4311;10.6405;0.01140;0.02930;0.73390;0.22090;0.80460;33.21180
10.9422;10.4621;11.0462;10.1650;0.00270;0.04750;0.56970;0.17290;1.11700;31.42900
10.8191;10.5252;11.1433;10.2495;0.00240;0.04640;0.41220;0.29120;0.97120;31.59510
10.9059;10.6221;11.1799;10.4649;-0.01900;0.04950;0.79890;0.45490;0.93650;28.94510
